Heart,Calories,Steps,Distance,Age,Gender,Weight,Height,Activity
55,2.704319954,8,0.00366609,35,M,179,5.6,1.Sedentary
54,2.929680109,13,0.0060273,35,M,179,5.6,1.Sedentary
59,2.704319954,9,0.004163187,35,M,179,5.6,1.Sedentary
58,2.704319954,11,0.005095244,35,M,179,5.6,1.Sedentary
58,1.126799941,0,0,35,M,179,5.6,1.Sedentary
60,1.239480019,0,0,35,M,179,5.6,1.Sedentary
62,2.253599882,40,0.018516861,35,M,179,5.6,1.Sedentary
65,3.155040026,37,0.017149845,35,M,179,5.6,1.Sedentary
71,3.155040026,80,0.03709586,35,M,179,5.6,1.Sedentary
81,6.760799885,114,0.052878689,35,M,179,5.6,1.Sedentary
108,7.887599945,123,0.057041876,35,M,179,5.6,1.Sedentary
113,8.338319778,119,0.055177763,35,M,179,5.6,1.Sedentary
114,7.887599945,118,0.054742802,35,M,179,5.6,1.Sedentary
115,7.887599945,119,0.055177763,35,M,179,5.6,1.Sedentary
118,8.338319778,117,0.054245707,35,M,179,5.6,1.Sedentary
122,8.789039612,120,0.055674858,35,M,179,5.6,1.Sedentary
119,8.563679695,119,0.055177763,35,M,179,5.6,1.Sedentary
122,8.789039612,120,0.055674858,35,M,179,5.6,1.Sedentary
124,8.789039612,117,0.054245707,35,M,179,5.6,1.Sedentary
127,9.014399529,118,0.054742802,35,M,179,5.6,1.Sedentary
122,9.014399529,117,0.054245707,35,M,179,5.6,1.Sedentary
118,8.338319778,117,0.054245707,35,M,179,5.6,1.Sedentary
116,8.789039612,116,0.053810745,35,M,179,5.6,1.Sedentary
118,9.239760399,115,0.053375784,35,M,179,5.6,1.Sedentary
115,7.887599945,85,0.039394934,35,M,179,5.6,1.Sedentary
114,8.112959862,119,0.055177763,35,M,179,5.6,1.Sedentary
119,8.338319778,119,0.055177763,35,M,179,5.6,1.Sedentary
122,8.112959862,99,0.045919333,35,M,179,5.6,1.Sedentary
126,9.014399529,113,0.052443728,35,M,179,5.6,1.Sedentary
125,9.014399529,121,0.05610982,35,M,179,5.6,1.Sedentary
124,8.789039612,95,0.044055216,35,M,179,5.6,1.Sedentary
120,9.014399529,112,0.051946633,35,M,179,5.6,1.Sedentary
124,9.690480232,113,0.052443728,35,M,179,5.6,1.Sedentary
143,12.6201601,110,0.051014576,35,M,179,5.6,1.Sedentary
145,12.16944027,115,0.053375784,35,M,179,5.6,1.Sedentary
144,12.39480019,116,0.053810745,35,M,179,5.6,1.Sedentary
111,10.5919199,117,0.054245707,35,M,179,5.6,1.Sedentary
135,13.07087994,118,0.054742802,35,M,179,5.6,1.Sedentary
148,13.29623985,120,0.055674858,35,M,179,5.6,1.Sedentary
138,12.39480019,117,0.054245707,35,M,179,5.6,1.Sedentary
132,11.04263973,116,0.053810745,35,M,179,5.6,1.Sedentary
116,9.239760399,117,0.054245707,35,M,179,5.6,1.Sedentary
124,10.14120007,116,0.053810745,35,M,179,5.6,1.Sedentary
114,13.07087994,117,0.054245707,35,M,179,5.6,1.Sedentary
104,8.789039612,114,0.052878689,35,M,179,5.6,1.Sedentary
101,9.690480232,80,0.03709586,35,M,179,5.6,1.Sedentary
121,11.26799965,118,0.054742802,35,M,179,5.6,1.Sedentary
121,10.81727982,58,0.026905373,35,M,179,5.6,1.Sedentary
110,8.563679695,34,0.015720692,35,M,179,5.6,1.Sedentary
93,5.972040176,0,0,35,M,179,5.6,1.Sedentary
75,1.126799941,0,0,35,M,179,5.6,1.Sedentary
72,1.126799941,0,0,35,M,179,5.6,1.Sedentary
71,1.126799941,0,0,35,M,179,5.6,1.Sedentary
60,1.126799941,0,0,35,M,179,5.6,1.Sedentary
59,1.126799941,0,0,35,M,179,5.6,1.Sedentary
55,2.704319954,9,0.004163187,35,M,179,5.6,1.Sedentary
55,3.155040026,25,0.011557505,35,M,179,5.6,1.Sedentary
58,3.831120014,20,0.00925843,35,M,179,5.6,1.Sedentary
55,3.380399942,19,0.008761334,35,M,179,5.6,1.Sedentary
60,3.605760098,42,0.019448919,35,M,179,5.6,1.Sedentary
65,3.605760098,24,0.011122544,35,M,179,5.6,1.Sedentary
68,2.929680109,11,0.005095244,35,M,179,5.6,1.Sedentary
75,3.380399942,37,0.017149845,35,M,179,5.6,1.Sedentary
73,5.408639908,80,0.03709586,35,M,179,5.6,1.Sedentary
84,6.535439968,124,0.057538971,35,M,179,5.6,1.Sedentary
86,8.338319778,119,0.055177763,35,M,179,5.6,1.Sedentary
91,8.789039612,119,0.055177763,35,M,179,5.6,1.Sedentary
109,9.239760399,120,0.055674858,35,M,179,5.6,1.Sedentary
123,8.563679695,120,0.055674858,35,M,179,5.6,1.Sedentary
93,8.563679695,118,0.054742802,35,M,179,5.6,1.Sedentary
90,10.14120007,117,0.054245707,35,M,179,5.6,1.Sedentary
141,13.29623985,119,0.055177763,35,M,179,5.6,1.Sedentary
177,13.74695969,116,0.053810745,35,M,179,5.6,1.Sedentary
178,13.74695969,117,0.054245707,35,M,179,5.6,1.Sedentary
168,12.84552002,105,0.048715502,35,M,179,5.6,1.Sedentary
145,10.5919199,65,0.030136503,35,M,179,5.6,1.Sedentary
135,9.465120316,49,0.022742186,35,M,179,5.6,1.Sedentary
128,8.563679695,17,0.007829277,35,M,179,5.6,1.Sedentary
126,8.338319778,21,0.009693391,35,M,179,5.6,1.Sedentary
126,8.338319778,53,0.024544163,35,M,179,5.6,1.Sedentary
127,8.563679695,67,0.03106856,35,M,179,5.6,1.Sedentary
124,8.112959862,22,0.010190488,35,M,179,5.6,1.Sedentary
123,7.662240028,26,0.012054601,35,M,179,5.6,1.Sedentary
116,7.211520195,86,0.039892029,35,M,179,5.6,1.Sedentary
105,6.084720135,81,0.037592959,35,M,179,5.6,1.Sedentary
104,5.408639908,15,0.006959357,35,M,179,5.6,1.Sedentary
78,1.239480019,0,0,35,M,179,5.6,1.Sedentary
99,4.732560158,13,0.0060273,35,M,179,5.6,1.Sedentary
103,4.957920074,6,0.002734033,35,M,179,5.6,1.Sedentary
99,4.732560158,14,0.006462261,35,M,179,5.6,1.Sedentary
100,4.732560158,18,0.008326374,35,M,179,5.6,1.Sedentary
106,7.436880112,98,0.045484371,35,M,179,5.6,1.Sedentary
114,6.760799885,89,0.041259047,35,M,179,5.6,1.Sedentary
118,8.338319778,118,0.054742802,35,M,179,5.6,1.Sedentary
115,8.563679695,115,0.053375784,35,M,179,5.6,1.Sedentary
114,8.112959862,118,0.054742802,35,M,179,5.6,1.Sedentary
135,10.14120007,117,0.054245707,35,M,179,5.6,1.Sedentary
153,12.84552002,118,0.054742802,35,M,179,5.6,1.Sedentary
171,13.07087994,116,0.053810745,35,M,179,5.6,1.Sedentary
164,12.6201601,116,0.053810745,35,M,179,5.6,1.Sedentary
162,11.94408035,62,0.028769486,35,M,179,5.6,1.Sedentary
